timestamps population node_ids
28027.156211545323 PAGaff 0
28064.26249792951 PAGaff 0
28125.663669898357 PAGaff 0
28220.3194003791 PAGaff 0
28270.173661129607 PAGaff 0
28364.06748610643 PAGaff 0
28380.258243068165 PAGaff 0
28441.653336123334 PAGaff 0
28604.01956268416 PAGaff 0
28648.205636585175 PAGaff 0
28690.022046144604 PAGaff 0
28744.66618369911 PAGaff 0
28771.41170612375 PAGaff 0
28851.453725003274 PAGaff 0
28886.998791963448 PAGaff 0
28912.810708447047 PAGaff 0
28915.129505799865 PAGaff 0
28147.918958510745 PAGaff 1
28159.354210930596 PAGaff 1
28213.070700868888 PAGaff 1
28259.683275590374 PAGaff 1
28306.715429483003 PAGaff 1
28339.45892543256 PAGaff 1
28421.531647849588 PAGaff 1
28548.72263069247 PAGaff 1
28660.850742438623 PAGaff 1
28717.114986366636 PAGaff 1
28870.37314461173 PAGaff 1
28968.608640405513 PAGaff 1
28027.423782908078 PAGaff 2
28149.23465305196 PAGaff 2
28172.126287109142 PAGaff 2
28189.380037701085 PAGaff 2
28198.7590860405 PAGaff 2
28204.707330680278 PAGaff 2
28211.551981411056 PAGaff 2
28287.476290826926 PAGaff 2
28329.708762667273 PAGaff 2
28540.304494684966 PAGaff 2
28550.693889772894 PAGaff 2
28667.159923031966 PAGaff 2
28731.07112406403 PAGaff 2
28774.732151915046 PAGaff 2
28783.630421157344 PAGaff 2
28165.18840301408 PAGaff 3
28204.660980570497 PAGaff 3
28312.504718101864 PAGaff 3
28381.004356346675 PAGaff 3
28412.862675459757 PAGaff 3
28490.03694053151 PAGaff 3
28718.086769873582 PAGaff 3
28727.147531848335 PAGaff 3
28748.495636704007 PAGaff 3
28863.332865814355 PAGaff 3
28887.185638726674 PAGaff 3
28965.74581310297 PAGaff 3
28966.44506355363 PAGaff 3
28082.145419696506 PAGaff 4
28192.45915642681 PAGaff 4
28241.906834330242 PAGaff 4
28344.483004083893 PAGaff 4
28390.05012097521 PAGaff 4
28520.7769892932 PAGaff 4
28552.089287082872 PAGaff 4
28563.695216532862 PAGaff 4
28653.4987283273 PAGaff 4
28716.746089633823 PAGaff 4
28744.40232186869 PAGaff 4
28837.3805753254 PAGaff 4
28852.374210415437 PAGaff 4
28868.89407962301 PAGaff 4
28980.83812561712 PAGaff 4
28017.621317455727 PAGaff 5
28032.240347573807 PAGaff 5
28053.288897641825 PAGaff 5
28079.048297957546 PAGaff 5
28177.018635978307 PAGaff 5
28233.444155598412 PAGaff 5
28293.421133589487 PAGaff 5
28369.621002733365 PAGaff 5
28443.06308476192 PAGaff 5
28465.14387269972 PAGaff 5
28486.389138198454 PAGaff 5
28497.039666465414 PAGaff 5
28560.38499181095 PAGaff 5
28565.237384473014 PAGaff 5
28628.098670968004 PAGaff 5
28766.298191748305 PAGaff 5
28777.21540326513 PAGaff 5
28946.68939911177 PAGaff 5
28091.136597876357 PAGaff 6
28100.63783252219 PAGaff 6
28197.431004877853 PAGaff 6
28351.8488652949 PAGaff 6
28356.600973824556 PAGaff 6
28361.617583357754 PAGaff 6
28472.310616403323 PAGaff 6
28665.685895306004 PAGaff 6
28679.780945961753 PAGaff 6
28702.278877149703 PAGaff 6
28721.040104486547 PAGaff 6
28785.88096432587 PAGaff 6
28954.24098353684 PAGaff 6
28991.579279365083 PAGaff 6
28013.373825368686 PAGaff 7
28190.95630891772 PAGaff 7
28312.365018860448 PAGaff 7
28323.02784014794 PAGaff 7
28357.94935592978 PAGaff 7
28456.09079242427 PAGaff 7
28603.127197087157 PAGaff 7
28642.90122981883 PAGaff 7
28905.975393636723 PAGaff 7
28933.977604318185 PAGaff 7
28992.699183691177 PAGaff 7
28056.0172754521 PAGaff 8
28085.31974158819 PAGaff 8
28118.1722946772 PAGaff 8
28200.97774734339 PAGaff 8
28224.672353211226 PAGaff 8
28248.201363820826 PAGaff 8
28298.61088503532 PAGaff 8
28448.59503828339 PAGaff 8
28455.802778308633 PAGaff 8
28495.711226392625 PAGaff 8
28550.747131499622 PAGaff 8
28694.378107409426 PAGaff 8
28759.083660187094 PAGaff 8
28779.52683459755 PAGaff 8
28817.85930129968 PAGaff 8
28840.268679995537 PAGaff 8
28055.635261156276 PAGaff 9
28079.892651592738 PAGaff 9
28129.333200645502 PAGaff 9
28334.437686853227 PAGaff 9
28337.17783220162 PAGaff 9
28406.084240070082 PAGaff 9
28470.19962587075 PAGaff 9
28481.279374318656 PAGaff 9
28637.06467640281 PAGaff 9
28644.68406636542 PAGaff 9
28694.77539090536 PAGaff 9
28737.477328339828 PAGaff 9
28831.368525677757 PAGaff 9
28946.380312240697 PAGaff 9
28970.998000908632 PAGaff 9
29000.0 PAGaff 0
29000.0 PAGaff 1
29000.0 PAGaff 2
29000.0 PAGaff 3
29000.0 PAGaff 4
29000.0 PAGaff 5
29000.0 PAGaff 6
29000.0 PAGaff 7
29000.0 PAGaff 8
29000.0 PAGaff 9
